Kabupaten/Kota;Prevelensi Stanting;IMD;Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak;Jumlah Balita gizi Kurang;Jumlah Tenaga Gizi Puskesmas;JumlahTenaga Gizi Rumah Sakit;Jumlah Ibu Hamil Mengonsumsi Tablet Tambah Darah (TTD) (Jiwa);Jumlah Posyandu;jumlah tenaga bidan;Jumlah penduduk miskin (ribu jiwa);Vitamin A;Persentase Penduduk Miskin;Tenaga kesehatan Perawat;Tenaga kesehatan Masyarakat;tenaga kesehatan Gizi;tenaga kesehatan Lingkingan;X;Y
Aceh Barat;35.2;2111;88.39;158;70;39;4633;372;789;38.46;21565;17.93;661;86;113;30;95.326365;5.561377
Aceh Barat Daya;30.4;2435;65.94;480;31;18;1822;219;466;24;9440;15.44;418;143;49;27;96.61647;5.088458
Aceh Besar;27;3410;83.49;2249;94;108;869;638;1.033;58.18;7820;13.38;533;155;103;100;97.978353;4.482483
Aceh Jaya;19.9;1126;78.05;538;27;43;0;203;376;12.13;6813;12.51;353;172;33;32;97.938865;2.742454
Aceh Selatan;34.8;173;70.83;414;27;9;3344;323;609;30.78;16829;12.43;875;175;54;46;96.977524;4.772692
Aceh Singkil;34;1358;78.92;461;35;3;2090;207;405;24.33;9252;19.18;459;181;29;21;96.501092;4.172831
Aceh Tamiang;27.4;3175;82.74;684;28;84;5231;282;759;38.25;20387;12.61;749;246;28;21;97.106815;5.163143
Aceh Tengah;32;2840;89.69;1023;32;70;3634;324;1.001;31.5;17198;14.5;823;259;69;58;95.274777;5.881025
Aceh Tenggara;36.7;2636;62.88;460;0;0;4225;104;910;28.42;12846;12.83;646;196;23;26;96.183615;4.441487
Aceh Timur;33.6;7131;69.06;2048;29;21;7904;750;1.695;62.16;32391;13.91;1116;249;69;42;96.874875;3.828478
Aceh Utara;38.3;5114;78.92;1498;39;0;924;969;2.712;107.02;35930;16.86;1719;93;78;88;95.460733;5.401458
Bener Meriah;37;1383;81.56;401;18;33;2948;219;854;27.93;11522;18.39;568;47;27;29;95.670184;4.82223
Bireuen;23.4;5841;85.39;673;51;21;8035;578;1.899;60.29;2234;12.51;1402;63;71;63;97.431129;3.115016
Gayo Lues;34.6;1117;46.33;253;6;6;1745;137;392;18.09;6077;18.87;331;137;24;19;97.740922;2.313962
Kota Banda Aceh;25.1;3499;96.88;512;21;81;4938;18;632;19.9;0;7.13;2337;91;97;75;97.995419;4.215234
Kota Langsa;22.1;2320;91.92;65;17;17;3282;119;346;19.41;10527;10.62;656;102;35;14;96.847073;4.54216
Kota Lhokseumawe;28.1;2785;90.27;797;18;7;4076;101;792;23.03;11753;10.84;996;125;26;16;97.657734;3.353886
Kota Sabang;23.4;159;89.52;79;19;5;600;58;130;5.13;3385;14.66;356;170;22;15;97.632076;4.666502
Kota Subulussalam;47.9;122;72.46;299;8;10;1885;116;392;14.06;6292;16.94;309;42;10;16;97.166658;5.007843
Nagan Raya;28.8;1802;79.97;501;0;47;2673;275;755;29.63;6727;17.38;550;105;47;29;97.339542;3.980316
Pidie;27.8;4133;54.68;311;34;21;5689;763;2.184;85.87;33124;18.79;1884;110;78;340;96.067376;5.08793
Pidie Jaya;37.8;2493;73.49;1299;37;56;2823;228;1.024;30.41;12170;18.45;751;37;48;132;96.061771;2.575238
Simeulue;37.2;1514;70.21;415;16;30;1400;170;470;17.86;4749;18.37;497;3099;28;19;96.202935;5.113992
